Investor,Count
First Light Capital Group,1
	Human Capital,1
Fontinalis Partners,1
Sodexo Ventures,1
DeFi Technologies,1
Hypersphere Ventures,1
AllegisCyber Capital,1
DataTribe,1
Harrison Metal,1
TPG Alternative & Renewable Technologies,1
Magma Venture Partners,1
Qumra Capital,1
Hongtai Capital Holdings,1
World Lab Innovation,1
Jerusalem Venture Partners,1
Israel Growth Partners,1
CMB International Capital,1
Vision Knight Capital,1
Tomales Bay Capital,1
Bain & Company,1
frst,1
Kima Ventures,1
Genesis Capital,1
MaC Venture Capital,1
FinVC,1
Alta Ventures Mexico,1
SoftBank Group. Monashees+,1
Gradient Ventures,1
A&NN,1
Rusnano,1
SciFi VC,1
Japan Post Capital,1
Globis Capital Partners,1
D1 Capita Partners,1
Rethink Impact,1
Work-Bench,1
Xiaomi,1
Ireland Strategic Investment Fund,1
Bank of China,1
Baseline Ventures,1
China Construction Bank,1
Section 32,1
Eastern Bell Capital 32,1
Sixth Street Growth,1
Zhangjiang Haocheng Venture Capital,1
Deer Park Road,1
Altamont Capital Partners,1
Baidu Ventures,1
Sway Ventures,1
One Peak Partners,1
Valiant Capital Partners,1
Streamlined Ventures,1
CVF Capital Partners,1
Dragonfly Capital,1
BAI Capital,1
Molten Ventures,1
Contrarian Ventures,1
Hitachi Ventures,1
L Capital Partners,1
ACE & Company,1
SEEK,1
August Capital,1
Zheshang Venture Capital,1
GP Capital,1
Western Capital Management,1
Toyota Motor Corporation,1
Mizuho Financial Group,1
FANUC,1
FutureX Capital,1
Quiet Capital,1
White Star Capital,1
Almaz Capital Partners,1
btov Partners,1
Automobile Industry Guidance Fund,1
ATP Investment,1
kt investment,1
Fashion Tech Lab,1
Vast Ventures,1
Gunosy Capital,1
Das Capital,1
Apeiron Investment Group,1
Shanghai Puyin Industry,1
Funa Yuanchuang Technology,1
BDC Venture Capital,1
Eleation Capital,1
Avenir Growth Capital,1
Winklevoss Capital,1
YL Ventures,1
Chengwei Capital,1
Global Asset Capital,1
Questa Capital,1
Echo Health Ventures,1
Sageview Capital,1
Samsung NEXT,1
CVS Health Partners,1
Altitude Life Science Ventures,1
A16z Crypto,1
Variant Fund,1
OpenSpace Ventures,1
Declaration Partners,1
Sky9 Capital,1
Hony Capital,1
Siam Commercial Bank,1
Ayala Corporation,1
K9 Ventures,1
Gauss Ventures,1
Ventura Capital,1
dmg ventures,1
Oryzn Capital,1
EQT Ventures,1
Green Innovations,1
Maverick Capital,1
DC Thomson Ventures,1
Breega Capital,1
360 Capital Partners,1
SEED Capital,1
Yuanta Investment Korea,1
Socii Capital,1
North Bridge Venture Partners,1
Betaworks Ventures,1
Porsche,1
	InvestIndustrial,1
Volcanics Ventures,1
Vertex Ventures China,1
Quiet Ventures,1
ETFS Capital,1
Collab+Currency,1
Black Pearl Ventures,1
Stonebridge Ventures,1
Gaingels,1
