Investor,Count
Iris Capital,2
Bling Capital,2
Moore Capital Management,2
Pritzker Group Venture Capital,2
Fabric Ventures,2
Cherry Ventures,2
500 Global,2
Altos Ventures,2
Liberty City Ventures,2
Tiantu Capital,2
Hyde Park Venture Partners,2
ClalTech,2
ARCH Venture Partners,2
Eldridge,2
Softbank Ventures Asia,2
Undisclosed,2
Lightspeed China Partners,2
CRE Venture Capital,2
Investment Corporation of Dubai,2
SBI Investment,2
Banyan Capital,2
Bedrock Capital,2
Notion Capital,2
BlueRun Ventures,2
QiMing Venture Partners,2
SAIF Partners India,2
BRV Capital Management,2
Costanoa Ventures,2
Contour Venture Partners,2
NFX,2
Future Ventures,2
CVC Capital Partners,2
Vintage Investment Partners,2
Redpoint Ventures China,2
Fidelity Investments,2
Morningside Ventures,2
Bain Capital Tech Opportunities,2
CreditEase Fintech Investment Fund,2
TTV Capital,2
SOSV,2
Digital Currency Group,2
Canapi Ventures,2
Holtzbrinck Ventures,2
Artiman Ventures,2
Plug and Play Ventures,2
American Family Ventures,2
58.com,2
Sequoia Capital Israel,2
Hopu Investment Management,2
OpenView Venture Partners,2
Anthemis,2
Spectrum Equity,2
Trifecta Capital,2
Energy Impact Partners,2
Circle Ventures,2
Silverton Partners,2
Maveron,2
Xingwang Investment Management,2
Venture Highway,2
Bezos Expeditions,2
Mubadala Capital,2
Maersk Growth,2
Ant Financial Services Group,2
International Finance Corporation,2
Google,2
Point Nine Capital,2
BoxGroup,2
Atinum Investment,2
Huagai Capital,2
Walden International,2
Volkswagen Group,2
Glory Ventures,2
Resolute Ventures,2
Redalpine Venture Partners,2
14W,2
LocalGlobe,2
Max Ventures,2
Omidyar Network,2
Meituan Dianping,2
Flint Capital,2
3one4 Capital Partners,2
Amadeus Capital Partners,2
China Grand Prosperity Investment,2
Vostok New Ventures,2
RiverPark Ventures,2
Slow Ventures,2
Kinnevik,2
General Catalyst Partners,2
Xiang He Capital,2
GIC,2
Redpoint e.ventures,2
Activant Capital,2
Riverwood Capital,2
Lowercase Capital,2
Sixth Street Partners,2
Polaris Partners,2
Bloomberg Beta,2
Next World Capital,2
SoftBank Latin America Fund,2
10T Fund,2
PSG,2
Slack Fund,2
Connect Ventures,2
Stripe,2
SDIC CMC Investment Management,2
TA Associates,2
Origin Ventures,2
Ten Eleven Ventures,2
Liberty Global Ventures,2
Ant Group,2
Galaxy Interactive,2
IDG Capital Partners,2
SC.Holdings,2
M13,2
Shea Ventures,2
NextView Ventures,2
Eniac Ventures,2
Rembrandt Venture Partners,2
Providence Equity Partners,2
Susa Ventures,2
Daphni,2
Draper Esprit,2
s28 Capital,2
Social Capital,2
Jiangsu Sha Steel Group,2
XVC Venture Capital,2
RedBird Capital Partners,2
Russia-China Investment Fund,2
China Creation Ventures,2
Adams Street Partners,2
GF Xinde Investment Management Co.,2
Sinovation Ventures,2
Drive Capital,2
Unicom Innovation Venture Capital,2
Owl Ventures,2
Cowboy Ventures,2
MoreVC,2
Anthos Capital,2
Splunk Ventures,2
Alumni Ventures Group,2
Cisco Investments,2
Fireside Ventures,2
3L,2
Moderne Ventures,2
Hummingbird Ventures,2
BGF Ventures,2
Samsung Ventures,2
Capricorn Investment Group,2
Alkeon Capital Management,2
Sina Weibo,2
S Capital,2
Founder Collective,2
Tiger Global management,2
Camber Creek,2
FJ Labs,2
Speedinvest,2
Amplify Partners,2
Bain Capital,2
Vertex Ventures SE Asia,2
TriplePoint Capital,2
Aviation Industry Corporation of China,2
Uniqa Ventures,2
Intact Ventures,1
HV Capital,1
Rakuten Ventures,1
LRVHealth,1
Not Boring Capital,1
Opus Capital,1
Kaiser Permanente Ventures,1
Bolt Ventures,1
Sunstone Capital,1
Endeavour Vision,1
China Internet Investment Fund,1
BBVA,1
